Local,Preço,Área,Quartos,Banheiros,Vagas,Link
"Apartamento para alugar em Anil, Rio de Janeiro",R$ 1.500/mêsCond. R$ 175,Tamanho do imóvel 42 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-anil-rio-de-janeiro-42m2-id-2810135563/?source=ranking%2Crp
"Apartamento para alugar em Humaitá, Rio de Janeiro",R$ 8.500/mêsCond. R$ 1.864 • IPTU R$ 427Preço abaixo do mercado,Tamanho do imóvel 155 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-humaita-rio-de-janeiro-155m2-id-2816163832/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 9.000/mêsCond. R$ 2.970 • IPTU R$ 957,Tamanho do imóvel 105 m²,Quantidade de quartos 2,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-105m2-id-2822215223/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 12.000/mêsCond. R$ 2.642 • IPTU R$ 4.267,Tamanho do imóvel 105 m²,Quantidade de quartos 3,Quantidade de banheiros 1,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-105m2-id-2812214372/?source=ranking%2Crp
"Apartamento para alugar em Penha, Rio de Janeiro",R$ 1.800/mêsCond. R$ 790 • IPTU R$ 64,Tamanho do imóvel 57 m²,Quantidade de quartos 2,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-penha-rio-de-janeiro-57m2-id-2600439367/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 30.000/mêsCond. R$ 6.300 • IPTU R$ 1.400,Tamanho do imóvel 290 m²,Quantidade de quartos 3,Quantidade de banheiros 5,Quantidade de vagas de garagem 3,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-barra-da-tijuca-rio-de-janeiro-290m2-id-2754747894/?source=ranking%2Crp
"Apartamento para alugar em Barra Olímpica, Rio de Janeiro",R$ 7.600/mêsCond. R$ 1.550 • IPTU R$ 303,Tamanho do imóvel 113 m²,Quantidade de quartos 4,Quantidade de banheiros 2,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-mobiliado-barra-olimpica-rio-de-janeiro-113m2-id-2818603232/?source=ranking%2Crp
"Apartamento para alugar em Jacarepaguá, Rio de Janeiro",R$ 1.800/mêsCond. R$ 1.335 • IPTU R$ 765,Tamanho do imóvel 59 m²,Quantidade de quartos 3,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 16.700/mêsCond. R$ 1.785 • IPTU R$ 850,Tamanho do imóvel 100 m²,Quantidade de quartos 1,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-leblon-rio-de-janeiro-100m2-id-2824045220/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 18.000/mêsCond. R$ 3.280 • IPTU R$ 1.040,Tamanho do imóvel 268 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 4,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-area-de-servico-barra-da-tijuca-rio-de-janeiro-268m2-id-2826697720/?source=ranking%2Crp
"Cobertura para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 4.800/mêsCond. R$ 1.724 • IPTU R$ 620,Tamanho do imóvel 186 m²,Quantidade de quartos 3,Quantidade de banheiros 4,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-recreio-dos-bandeirantes-rio-de-janeiro-186m2-id-2811642137/?source=ranking%2Crp
"Apartamento para alugar em Madureira, Rio de Janeiro",R$ 800/mêsCond. R$ 320 • IPTU R$ 106,Tamanho do imóvel 75 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-madureira-rio-de-janeiro-75m2-id-2427494963/?source=ranking%2Crp
"Cobertura para alugar em Freguesia (Jacarepaguá), Rio de Janeiro",R$ 3.950/mêsCond. R$ 1.819 • IPTU R$ 545Preço abaixo do mercado,Tamanho do imóvel 187 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-piscina-freguesia-jacarepagua-rio-de-janeiro-187m2-id-2821893738/?source=ranking%2Crp
"Apartamento para alugar em Lins de Vasconcelos, Rio de Janeiro",R$ 1.000/mêsCond. R$ 682,Tamanho do imóvel 46 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-lins-de-vasconcelos-rio-de-janeiro-46m2-id-2791721432/?source=ranking%2Crp
"Apartamento para alugar em Lagoa, Rio de Janeiro",R$ 5.000/mêsCond. R$ 2.400 • IPTU R$ 1.408,Tamanho do imóvel 56 m²,Quantidade de quartos 1,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-lagoa-rio-de-janeiro-56m2-id-2826815971/?source=ranking%2Crp
"Apartamento para alugar em Campo Grande, Rio de Janeiro",R$ 800/mêsCond. R$ 20,Tamanho do imóvel 35 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-campo-grande-rio-de-janeiro-35m2-id-2744619598/?source=ranking%2Crp
"Apartamento para alugar em Penha Circular, Rio de Janeiro",R$ 750/mêsCond. R$ 130,Tamanho do imóvel 42 m²,Quantidade de quartos 1,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-penha-circular-rio-de-janeiro-42m2-id-2795155325/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 20.000/mêsCond. R$ 3.400 • IPTU R$ 1.200,Tamanho do imóvel 247 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-lavabo-copacabana-rio-de-janeiro-247m2-id-2664265984/?source=ranking%2Crp
"Apartamento para alugar em Lagoa, Rio de Janeiro",R$ 12.000/mêsCond. R$ 3.537 • IPTU R$ 7.592Preço abaixo do mercado,Tamanho do imóvel 235 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 3,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-ar-condicionado-lagoa-rio-de-janeiro-235m2-id-2748189614/?source=ranking%2Crp
"Apartamento para alugar em Taquara, Rio de Janeiro",R$ 2.000/mêsCond. R$ 1.056 • IPTU R$ 118,Tamanho do imóvel 69 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-taquara-zona-oeste-rio-de-janeiro-rj-69m2-id-2826623214/?source=ranking%2Crp
"Apartamento para alugar em Padre Miguel, Rio de Janeiro",R$ 1.200/mêsIPTU R$ 200,Tamanho do imóvel 15 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-padre-miguel-zona-oeste-rio-de-janeiro-rj-15m2-id-2822949223/?source=ranking%2Crp
"Apartamento para alugar em Botafogo, Rio de Janeiro",R$ 8.900/mêsCond. R$ 1.831 • IPTU R$ 8.286Preço abaixo do mercado,Tamanho do imóvel 160 m²,Quantidade de quartos 3,Quantidade de banheiros 4,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-botafogo-zona-sul-rio-de-janeiro-rj-160m2-id-2731192131/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 20.000/mêsCond. R$ 3.400 • IPTU R$ 1.200,Tamanho do imóvel 247 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-lavabo-copacabana-rio-de-janeiro-247m2-id-2664265984/?source=ranking%2Crp
"Apartamento para alugar em Lagoa, Rio de Janeiro",R$ 12.000/mêsCond. R$ 3.537 • IPTU R$ 7.592Preço abaixo do mercado,Tamanho do imóvel 235 m²,Quantidade de quartos 4,Quantidade de banheiros 4,Quantidade de vagas de garagem 3,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-ar-condicionado-lagoa-rio-de-janeiro-235m2-id-2748189614/?source=ranking%2Crp
"Apartamento para alugar em Campo Grande, Rio de Janeiro",R$ 1.100/mêsIPTU R$ 25,Tamanho do imóvel 80 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-andar-inteiro-campo-grande-rio-de-janeiro-80m2-id-2643372057/?source=ranking%2Crp
"Duplex para alugar em Anil, Rio de Janeiro",R$ 4.200/mêsCond. R$ 1.282 • IPTU R$ 356Preço abaixo do mercado,Tamanho do imóvel 169 m²,Quantidade de quartos 3,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-anil-rio-de-janeiro-169m2-id-2823812218/?source=ranking%2Crp
"Apartamento para alugar em Freguesia (Jacarepaguá), Rio de Janeiro",R$ 1.600/mêsCond. R$ 420 • IPTU R$ 80,Tamanho do imóvel 78 m²,Quantidade de quartos 3,Quantidade de banheiros 3,NA,
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 1.400/mêsCond. R$ 718,Tamanho do imóvel 20 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-copacabana-rio-de-janeiro-20m2-id-2826905740/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 18.000/mêsCond. R$ 3.200 • IPTU R$ 10.400,Tamanho do imóvel 262 m²,Quantidade de quartos 4,Quantidade de banheiros 5,Quantidade de vagas de garagem 4,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-barra-da-tijuca-rio-de-janeiro-262m2-id-2814813551/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 10.000/mêsCond. R$ 2.653 • IPTU R$ 714,Tamanho do imóvel 75 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-barra-da-tijuca-rio-de-janeiro-75m2-id-2826206627/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 13.500/mêsCond. R$ 2.340 • IPTU R$ 737,Tamanho do imóvel 170 m²,Quantidade de quartos 4,Quantidade de banheiros 5,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-170m2-id-2824950739/?source=ranking%2Crp
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 15.000/mêsCond. R$ 1.900 • IPTU R$ 674,Tamanho do imóvel 100 m²,Quantidade de quartos 1,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-leblon-rio-de-janeiro-100m2-id-2821991737/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 1.850/mêsCond. R$ 100,Tamanho do imóvel 35 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-americana-recreio-dos-bandeirantes-rio-de-janeiro-35m2-id-2812737131/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 3.200/mêsCond. R$ 2.260 • IPTU R$ 350Preço abaixo do mercado,Tamanho do imóvel 123 m²,Quantidade de quartos 3,Quantidade de banheiros 4,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-123m2-id-2823269315/?source=ranking%2Crp
"Apartamento para alugar em Braz de Pina, Rio de Janeiro",R$ 800/mês,Tamanho do imóvel 38 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-braz-de-pina-rio-de-janeiro-38m2-id-2721728670/?source=ranking%2Crp
"Apartamento para alugar em Tomás Coelho, Rio de Janeiro",R$ 800/mêsCond. R$ 250 • IPTU R$ 10,Tamanho do imóvel 42 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-tomas-coelho-rio-de-janeiro-42m2-id-2821256348/?source=ranking%2Crp
"Apartamento para alugar em Flamengo, Rio de Janeiro",R$ 10.000/mêsCond. R$ 1.525 • IPTU R$ 2.980,Tamanho do imóvel 120 m²,Quantidade de quartos 3,Quantidade de banheiros 3,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-flamengo-rio-de-janeiro-120m2-id-2723147644/?source=ranking%2Crp
"Apartamento para alugar em Maracanã, Rio de Janeiro",R$ 1.650/mêsCond. R$ 706,Tamanho do imóvel 50 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-maracana-rio-de-janeiro-50m2-id-2804184717/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 5.000/mêsCond. R$ 1.500 • IPTU R$ 243,Tamanho do imóvel 83 m²,Quantidade de quartos 3,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-83m2-id-2828193530/?source=ranking%2Crp
"Apartamento para alugar em Engenho Novo, Rio de Janeiro",R$ 1.300/mêsCond. R$ 960,Tamanho do imóvel 65 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-engenho-novo-rio-de-janeiro-65m2-id-2771656053/?source=ranking%2Crp
"Apartamento para alugar em Vila da Penha, Rio de Janeiro",R$ 1.500/mêsCond. R$ 340 • IPTU R$ 580,Tamanho do imóvel 70 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-da-penha-rio-de-janeiro-70m2-id-2802189026/?source=ranking%2Crp
"Apartamento para alugar em Grajaú, Rio de Janeiro",R$ 2.500/mêsCond. R$ 380 • IPTU R$ 835,Tamanho do imóvel 54 m²,Quantidade de quartos 2,Quantidade de banheiros 2,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-grajau-rio-de-janeiro-54m2-id-2799654357/?source=ranking%2Crp
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 15.000/mêsCond. R$ 2.700 • IPTU R$ 640,Tamanho do imóvel 71 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-leblon-rio-de-janeiro-71m2-id-2806941820/?source=ranking%2Crp
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 9.700/mêsCond. R$ 1.390 • IPTU R$ 374,Tamanho do imóvel 78 m²,Quantidade de quartos 2,Quantidade de banheiros 2,NA,
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 12.000/mêsCond. R$ 1.950 • IPTU R$ 9.196,Tamanho do imóvel 98 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-leblon-rio-de-janeiro-98m2-id-2825519826/?source=ranking%2Crp
"Apartamento para alugar em Jardim Botânico, Rio de Janeiro",R$ 6.800/mêsCond. R$ 1.650 • IPTU R$ 419,Tamanho do imóvel 111-120 m²,Quantidade de quartos 3,Quantidade de banheiros 2-3,Quantidade de vagas de garagem 2,
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 3.000/mêsCond. R$ 1.300 • IPTU R$ 1.705,Tamanho do imóvel 63 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-63m2-id-2818225428/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 18.000/mêsCond. R$ 8.430 • IPTU R$ 1.819,Tamanho do imóvel 431 m²,Quantidade de quartos 4,Quantidade de banheiros 1,Quantidade de vagas de garagem 4,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-academia-barra-da-tijuca-rio-de-janeiro-431m2-id-2827094364/?source=ranking%2Crp
"Apartamento para alugar em Barra Olímpica, Rio de Janeiro",R$ 8.000/mêsCond. R$ 1.700,Tamanho do imóvel 131 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-barra-olimpica-rio-de-janeiro-131m2-id-2794200014/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 7.700/mêsCond. R$ 1.780 • IPTU R$ 650,Tamanho do imóvel 183 m²,Quantidade de quartos 3,Quantidade de banheiros 5,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-183m2-id-2792761643/?source=ranking%2Crp
"Apartamento para alugar em Botafogo, Rio de Janeiro",R$ 3.000/mêsCond. R$ 610 • IPTU R$ 162,Tamanho do imóvel 66 m²,Quantidade de quartos 2,Quantidade de banheiros 2,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-rj-66m2-id-2822941349/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 7.800/mêsCond. R$ 1.974 • IPTU R$ 652Preço abaixo do mercado,Tamanho do imóvel 159 m²,Quantidade de quartos 3,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-tv-a-cabo-copacabana-zona-sul-rio-de-janeiro-rj-159m2-id-2820292322/?source=ranking%2Crp
"Apartamento para alugar em Bancários, Rio de Janeiro",R$ 2.500/mêsIPTU R$ 844,Tamanho do imóvel 84 m²,Quantidade de quartos 3,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-area-de-servico-bancarios-rio-de-janeiro-84m2-id-2824488120/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 5.500/mêsCond. R$ 2.100 • IPTU R$ 348,Tamanho do imóvel 90 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-90m2-id-2765295628/?source=ranking%2Crp
"Cobertura para alugar em Barra da Tijuca, Rio de Janeiro",R$ 12.000/mêsCond. R$ 2.022 • IPTU R$ 1.212,Tamanho do imóvel 290 m²,Quantidade de quartos 4,Quantidade de banheiros 5,Quantidade de vagas de garagem 4,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-4-quartos-com-academia-barra-da-tijuca-rio-de-janeiro-290m2-id-2817236040/?source=ranking%2Crp
"Apartamento para alugar em Lins de Vasconcelos, Rio de Janeiro",R$ 1.500/mêsCond. R$ 727,Tamanho do imóvel 42 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-lins-de-vasconcelos-rio-de-janeiro-42m2-id-2760492015/?source=ranking%2Crp
"Cobertura para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 9.500/mêsCond. R$ 2.100 • IPTU R$ 635,Tamanho do imóvel 236 m²,Quantidade de quartos 4,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-cobertura-4-quartos-mobiliado-recreio-dos-bandeirantes-rio-de-janeiro-236m2-id-2821872232/?source=ranking%2Crp
"Apartamento para alugar em Vargem Grande, Rio de Janeiro",R$ 4.400/mêsCond. R$ 1.041 • IPTU R$ 2.135,Tamanho do imóvel 138 m²,Quantidade de quartos 3,Quantidade de banheiros 5,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-vargem-grande-rio-de-janeiro-138m2-id-2779987078/?source=ranking%2Crp
"Apartamento para alugar em Barra Olímpica, Rio de Janeiro",R$ 7.000/mêsCond. R$ 1.400 • IPTU R$ 310,Tamanho do imóvel 118 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-barra-olimpica-rio-de-janeiro-118m2-id-2824698924/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 5.500/mêsCond. R$ 1.514 • IPTU R$ 230,Tamanho do imóvel 64 m²,Quantidade de quartos 2,Quantidade de banheiros 1-2,Quantidade de vagas de garagem 1,
"Duplex para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 6.000/mêsCond. R$ 1.495 • IPTU R$ 5.600,Tamanho do imóvel 320 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-recreio-dos-bandeirantes-rio-de-janeiro-320m2-id-2692092572/?source=ranking%2Crp
"Apartamento para alugar em Barra Olímpica, Rio de Janeiro",R$ 4.300/mêsCond. R$ 1.200 • IPTU R$ 135Preço abaixo do mercado,Tamanho do imóvel 68 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,
"Apartamento para alugar em Quintino Bocaiúva, Rio de Janeiro",R$ 1.200/mês,Tamanho do imóvel 50 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-varanda-quintino-bocaiuva-rio-de-janeiro-50m2-id-2810455017/?source=ranking%2Crp
"Cobertura para alugar em Praça Seca, Rio de Janeiro",R$ 1.700/mêsCond. R$ 1.000 • IPTU R$ 213,Tamanho do imóvel 150 m²,Quantidade de quartos 3,Quantidade de banheiros 2,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-piscina-praca-seca-rio-de-janeiro-150m2-id-2645565658/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 15.000/mêsCond. R$ 1.500 • IPTU R$ 710,Tamanho do imóvel 110 m²,Quantidade de quartos 3,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-elevador-copacabana-rio-de-janeiro-110m2-id-2768423916/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 6.900/mêsCond. R$ 2.289 • IPTU R$ 326,Tamanho do imóvel 112 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-112m2-id-2777030431/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 6.996/mêsCond. R$ 2.002 • IPTU R$ 435,Tamanho do imóvel 116 m²,Quantidade de quartos 2,Quantidade de banheiros 4,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-116m2-id-2788511332/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 4.290/mêsCond. R$ 1.152 • IPTU R$ 4.130,Tamanho do imóvel 120 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-recreio-dos-bandeirantes-rio-de-janeiro-120m2-id-2793491629/?source=ranking%2Crp
"Cobertura para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 6.000/mêsCond. R$ 2.000 • IPTU R$ 870Preço abaixo do mercado,Tamanho do imóvel 288 m²,Quantidade de quartos 4,Quantidade de banheiros 1-5,Quantidade de vagas de garagem 2-3,
"Apartamento para alugar em Jacarepaguá, Rio de Janeiro",R$ 2.300/mêsCond. R$ 890 • IPTU R$ 857,Tamanho do imóvel 34 m²,Quantidade de quartos 1,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jacarepagua-rio-de-janeiro-34m2-id-2788540517/?source=ranking%2Crp
"Kitnet/Conjugado para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 1.700/mêsCond. R$ 463,Tamanho do imóvel 31 m²,Quantidade de quartos 1,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-quitinete-1-quarto-recreio-dos-bandeirantes-rio-de-janeiro-31m2-id-2784910719/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 10.000/mêsCond. R$ 2.166 • IPTU R$ 422,Tamanho do imóvel 111 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-playground-copacabana-rio-de-janeiro-111m2-id-2826705819/?source=ranking%2Crp
"Apartamento para alugar em Laranjeiras, Rio de Janeiro",R$ 5.200/mêsCond. R$ 1.400 • IPTU R$ 245,Tamanho do imóvel 92 m²,Quantidade de quartos 3,Quantidade de banheiros 3,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-laranjeiras-rio-de-janeiro-92m2-id-2825670234/?source=ranking%2Crp
"Apartamento para alugar em Santa Teresa, Rio de Janeiro",R$ 1.600/mêsCond. R$ 1.515 • IPTU R$ 1.094,Tamanho do imóvel 94 m²,Quantidade de quartos 2,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-playground-santa-teresa-rio-de-janeiro-94m2-id-2815119913/?source=ranking%2Crp
